Fecha	Valor
06-03-2017	655.57
03-03-2017	654.11
02-03-2017	650.98
01-03-2017	648.88
28-02-2017	645.19
27-02-2017	645.66
24-02-2017	640.36
23-02-2017	641.51
22-02-2017	643.63
21-02-2017	642.21
20-02-2017	643.49
17-02-2017	638.35
16-02-2017	639.93
15-02-2017	641.89
14-02-2017	642.4
13-02-2017	642.62
10-02-2017	646.82
09-02-2017	646.58
08-02-2017	646.06
07-02-2017	639.35
06-02-2017	641.8
03-02-2017	643.18
02-02-2017	646.97
01-02-2017	646.19
31-01-2017	648.87
30-01-2017	649.92
27-01-2017	648.31
26-01-2017	650.98
25-01-2017	653.84
24-01-2017	652.92
23-01-2017	659.49
20-01-2017	660.18
19-01-2017	658.91
18-01-2017	657.85
17-01-2017	661.38
16-01-2017	660.13
13-01-2017	663.01
12-01-2017	671.69
11-01-2017	670.94
10-01-2017	670.35
09-01-2017	665.29
06-01-2017	666.41
05-01-2017	671.78
04-01-2017	673.36
03-01-2017	669.47
30-12-2016	667.29
29-12-2016	673.06
28-12-2016	673.73
27-12-2016	672.69
26-12-2016	673.48
23-12-2016	674.96
22-12-2016	672.24
21-12-2016	676.09
20-12-2016	677.11
19-12-2016	670.16
16-12-2016	663.68
15-12-2016	654.94
14-12-2016	650.25
13-12-2016	649.4
12-12-2016	653.55
09-12-2016	656.07
07-12-2016	662.05
06-12-2016	668.9
05-12-2016	672.58
02-12-2016	674.76
01-12-2016	673.54
30-11-2016	675.48
29-11-2016	675.91
28-11-2016	678.03
25-11-2016	677.56
24-11-2016	679.24
23-11-2016	674.37
22-11-2016	675.39
21-11-2016	678.28
18-11-2016	674.38
17-11-2016	675.77
16-11-2016	668.93
15-11-2016	668.29
14-11-2016	663.23
11-11-2016	656.36
10-11-2016	650.95
09-11-2016	651.32
08-11-2016	654.66
07-11-2016	654.87
04-11-2016	650.72
03-11-2016	653.55
02-11-2016	651.18
28-10-2016	651.65
27-10-2016	653.62
26-10-2016	653.98
25-10-2016	660.38
24-10-2016	667.09
21-10-2016	666.74
20-10-2016	667.41
19-10-2016	668.47
18-10-2016	670.61
17-10-2016	670.37
14-10-2016	670.88
13-10-2016	667.19
12-10-2016	667.47
11-10-2016	667.93
07-10-2016	666.97
06-10-2016	664.86
05-10-2016	662.29
04-10-2016	658.59
03-10-2016	658.02
30-09-2016	659.08
29-09-2016	662.27
28-09-2016	661.96
27-09-2016	662.34
26-09-2016	659.71
23-09-2016	657.32
22-09-2016	666.89
21-09-2016	672.73
20-09-2016	674.67
16-09-2016	671.36
15-09-2016	674.93
14-09-2016	672.97
13-09-2016	674.18
12-09-2016	670.61
09-09-2016	661.93
08-09-2016	660.95
07-09-2016	669.49
06-09-2016	673.61
05-09-2016	675.43
02-09-2016	680.28
01-09-2016	678.57
31-08-2016	673.17
30-08-2016	671.32
29-08-2016	662.93
26-08-2016	665.94
25-08-2016	671.49
24-08-2016	668.57
23-08-2016	667.31
22-08-2016	660.94
19-08-2016	656.05
18-08-2016	657.46
17-08-2016	649.01
16-08-2016	648.31
12-08-2016	645.22
11-08-2016	649.29
10-08-2016	653.06
09-08-2016	654.79
08-08-2016	656.98
05-08-2016	657.36
04-08-2016	657.21
03-08-2016	654.76
02-08-2016	657.47
01-08-2016	656.95
29-07-2016	664.94
28-07-2016	664.94
27-07-2016	661.04
26-07-2016	656.33
25-07-2016	650.78
22-07-2016	650.09
21-07-2016	651.43
20-07-2016	651.53
19-07-2016	650.84
18-07-2016	650.58
15-07-2016	650.92
14-07-2016	658.2
13-07-2016	657.82
12-07-2016	657.84
11-07-2016	661.5
08-07-2016	664.06
07-07-2016	664.51
06-07-2016	661.29
05-07-2016	659.26
04-07-2016	659.64
01-07-2016	661.37
30-06-2016	661.49
29-06-2016	674.16
28-06-2016	680.21
24-06-2016	669.88
23-06-2016	672.8
22-06-2016	676.03
21-06-2016	679.8
20-06-2016	685.64
17-06-2016	689.83
16-06-2016	685.89
15-06-2016	688.34
14-06-2016	685.00
13-06-2016	683.67
10-06-2016	678.18
09-06-2016	673.14
08-06-2016	679.85
07-06-2016	680.55
06-06-2016	683.27
03-06-2016	691.36
02-06-2016	693.61
01-06-2016	689.81
31-05-2016	690.27
30-05-2016	687.43
27-05-2016	687.34
26-05-2016	692.24
25-05-2016	692.87
24-05-2016	693.89
23-05-2016	692.19
20-05-2016	696.96
19-05-2016	691.32
18-05-2016	692.77
17-05-2016	692.52
16-05-2016	689.34
13-05-2016	682.55
12-05-2016	678.5
11-05-2016	677.2
10-05-2016	670.97
09-05-2016	666.89
06-05-2016	667.43
05-05-2016	670.36
04-05-2016	667.89
03-05-2016	660.88
02-05-2016	659.34
29-04-2016	663.4
28-04-2016	668.49
27-04-2016	669.01
26-04-2016	668.36
25-04-2016	666.8
22-04-2016	660.34
21-04-2016	660.38
20-04-2016	657.9
19-04-2016	666.00
18-04-2016	666.6
15-04-2016	668.38
14-04-2016	670.8
13-04-2016	674.58
12-04-2016	682.16
11-04-2016	682.45
08-04-2016	680.79
07-04-2016	676.62
06-04-2016	674.93
05-04-2016	669.55
04-04-2016	671.24
01-04-2016	669.8
31-03-2016	675.1
30-03-2016	683.16
29-03-2016	680.84
28-03-2016	682.36
24-03-2016	677.16
23-03-2016	677.42
22-03-2016	677.52
21-03-2016	671.97
18-03-2016	672.06
17-03-2016	688.11
16-03-2016	685.98
15-03-2016	684.74
14-03-2016	683.00
11-03-2016	678.22
10-03-2016	678.72
09-03-2016	682.00
08-03-2016	681.63
07-03-2016	681.39
04-03-2016	686.64
03-03-2016	688.48
02-03-2016	694.82
01-03-2016	694.17
29-02-2016	689.18
26-02-2016	691.36
25-02-2016	698.47
24-02-2016	693.23
23-02-2016	693.78
22-02-2016	702.38
19-02-2016	700.74
18-02-2016	705.44
17-02-2016	704.92
16-02-2016	701.39
15-02-2016	708.63
12-02-2016	713.47
11-02-2016	711.34
10-02-2016	715.41
09-02-2016	709.75
08-02-2016	700.02
05-02-2016	698.49
04-02-2016	709.43
03-02-2016	713.54
02-02-2016	714.44
01-02-2016	710.37
29-01-2016	711.72
28-01-2016	716.21
27-01-2016	720.14
26-01-2016	717.46
25-01-2016	715.63
22-01-2016	726.63
21-01-2016	729.22
20-01-2016	726.19
19-01-2016	730.2
18-01-2016	730.31
15-01-2016	725.98
14-01-2016	726.57
13-01-2016	730.28
12-01-2016	729.78
11-01-2016	723.31
08-01-2016	721.31
07-01-2016	715.84
06-01-2016	715.08
05-01-2016	716.94
04-01-2016	710.16
30-12-2015	707.34
29-12-2015	704.42
28-12-2015	700.77
24-12-2015	696.26
23-12-2015	693.72
22-12-2015	694.37
21-12-2015	702.7
18-12-2015	708.5
17-12-2015	709.23
16-12-2015	709.82
15-12-2015	711.52
14-12-2015	707.11
11-12-2015	703.54
10-12-2015	704.7
09-12-2015	706.34
07-12-2015	701.04
04-12-2015	701.56
03-12-2015	703.47
02-12-2015	707.15
01-12-2015	711.2
30-11-2015	712.63
27-11-2015	712.13
26-11-2015	713.47
25-11-2015	711.42
24-11-2015	715.66
23-11-2015	709.04
20-11-2015	711.96
19-11-2015	714.12
18-11-2015	710.46
17-11-2015	709.59
16-11-2015	705.09
13-11-2015	702.51
12-11-2015	699.08
11-11-2015	702.7
10-11-2015	701.26
09-11-2015	697.07
06-11-2015	693.49
05-11-2015	688.94
04-11-2015	691.19
03-11-2015	691.92
02-11-2015	690.32
30-10-2015	690.34
29-10-2015	687.37
28-10-2015	687.45
27-10-2015	685.64
26-10-2015	686.95
23-10-2015	691.62
22-10-2015	692.7
21-10-2015	684.21
20-10-2015	679.31
19-10-2015	673.91
16-10-2015	675.62
15-10-2015	681.07
14-10-2015	683.05
13-10-2015	675.37
09-10-2015	681.7
08-10-2015	678.59
07-10-2015	681.29
06-10-2015	685.83
05-10-2015	695.33
02-10-2015	695.53
01-10-2015	698.72
30-09-2015	704.68
29-09-2015	705.29
28-09-2015	697.91
25-09-2015	705.92
24-09-2015	700.43
23-09-2015	696.47
22-09-2015	682.67
21-09-2015	676.74
17-09-2015	680.16
16-09-2015	686.38
15-09-2015	688.65
14-09-2015	684.54
